ID,VERSION,CATEGORY,CURRENCY_CONVERSION_CATEGORY,RATE_VERSION,dataLockingOwner,StartMonth,EndMonth,PlanYear,DEC_DATE,ACT_START,ACT_END,Second_Plan_Yr_Start,Second_Plan_Year_End,LastClosed,Ver_ACT_TAX,PRIOR_YR_JAN,PRIOR_YR_DEC,PRIOR_YR_OCT,Description,nextLink
public.AOP,AOP,Budget,Budget,,TEAM:IFP_CORP_ADMINS,202201,202312,2022,202212,202201,202212,,,,202201,202101,,,AOP,
public.AOP_22,AOP_22,Budget,Budget,,TEAM:IFP_CORP_ADMINS,202201,202312,2022,202212,202201,202212,,,,202201,202101,,,AOP_22,
public.AOP_23_PREV,AOP_23_PREV,Budget,Budget,,TEAM:IFP_CORP_ADMINS,202301,202412,2023,202312,202301,202312,202401,202412,,202201,202201,,,AOP_23_PREV,
public.AOP_2nd_Submission,AOP_2nd_Submission,Budget,Budget,,TEAM:IFP_CORP_ADMINS,202501,202612,2025,202512,202501,202512,202601,202612,,202201,202401,202412,,AOP_2nd_Submission,
public.AOP_NEXT,AOP_NEXT,Budget,Budget,,TEAM:IFP_CORP_ADMINS,202501,202612,2025,202512,202501,202512,202601,202612,,202201,202401,202412,,AOP_NEXT,
public.Actual,Actual,Actuals,Actuals,,TEAM:IFP_CORP_ADMINS,202501,202509,Actual,,202501,202509,,,,202401,202301,202312,,Actual,
public.LRP,LRP,Planning,Planning,,TEAM:IFP_CORP_ADMINS,202501,203412,2025,202512,202401,202412,,,,,,,,LRP,
public.QBU,QBU,Forecast,Forecast,,TEAM:IFP_CORP_ADMINS,202406,202512,2024,202412,202401,202405,202501,202512,,202401,202301,202312,,QBU,
public.RF1,RF1,Rolling Forecast,Rolling Forecast,,TEAM:IFP_CORP_ADMINS,202301,202412,2023,,,,,,,202201,,,,RF1,
public.RF10,RF10,Rolling Forecast,Rolling Forecast,,TEAM:IFP_CORP_ADMINS,202210,202312,2022,,,,,,,202201,,,,RF10,
public.RF11,RF11,Rolling Forecast,Rolling Forecast,,TEAM:IFP_CORP_ADMINS,202211,202312,2022,,,,,,,202201,,,,RF11,
public.RF12,RF12,Rolling Forecast,Rolling Forecast,,TEAM:IFP_CORP_ADMINS,202212,202312,2022,,,,,,,202201,,,,RF12,
public.RF2,RF2,Rolling Forecast,Rolling Forecast,,TEAM:IFP_CORP_ADMINS,202302,202412,2023,,,,,,,202201,,,,RF2,
public.RF3,RF3,Rolling Forecast,Rolling Forecast,,TEAM:IFP_CORP_ADMINS,202303,202412,2023,,,,,,,202201,,,,RF3,
public.RF4,RF4,Rolling Forecast,Rolling Forecast,,TEAM:IFP_CORP_ADMINS,202304,202412,2023,,,,,,,202201,,,,RF4,
public.RF5,RF5,Rolling Forecast,Rolling Forecast,,TEAM:IFP_CORP_ADMINS,202305,202412,2023,,,,,,,202201,,,,RF5,
public.RF6,RF6,Rolling Forecast,Rolling Forecast,,TEAM:IFP_CORP_ADMINS,202306,202412,2023,,,,,,,202201,,,,RF6,
public.RF7,RF7,Forecast,Forecast,,TEAM:IFP_CORP_ADMINS,202207,202312,2022,,,,,,,202201,,,,RF7,
public.RF8,RF8,Forecast,Forecast,,TEAM:IFP_CORP_ADMINS,202208,202312,2022,,,,,,,202201,,,,RF8,
public.RF9,RF9,Rolling Forecast,Rolling Forecast,,TEAM:IFP_CORP_ADMINS,202209,202312,2022,,,,,,,202201,,,,RF9,
public.RF_APR,RF_APR,Rolling Forecast,Rolling Forecast,,TEAM:IFP_CORP_ADMINS,202304,202412,2023,,,,,,,202201,,,,RF_APR,
public.RF_CURRENT,RF_CURRENT,Forecast,Forecast,FCURR,TEAM:IFP_CORP_ADMINS,202510,202712,2025,202512,202501,202509,202601,202612,,202301,202301,202312,,RF_CURRENT,
public.RF_CURRENT_SIT,RF_CURRENT_SIT,Forecast,Forecast,FCURR,TEAM:IFP_CORP_ADMINS,202510,202712,2025,202512,202501,202509,202601,202612,,202301,202301,202312,,RF_CURRENT_SIT,
public.RF_JAN,RF_JAN,Forecast,Forecast,,TEAM:IFP_CORP_ADMINS,202310,202512,2024,202412,,,202501,202512,,202301,202301,202312,,RF_JAN,
public.RF_PREVIOUS,RF_PREVIOUS,Forecast,Forecast,,TEAM:IFP_CORP_ADMINS,202301,202412,2023,202412,,,,,,202201,202101,,,RF_PREVIOUS,
